Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR4032245,ChIP-Seq,GCA_000001405.13,50,2613467257,PRJNA339028,SAMN05578088,807887007,iPS-derived cardiomyocytes,GEO,"H3K36me3 (ab9050\, lot:GR114293-2)",public,"sra,bam","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Differentiation D32,SRX2023754,GSM2280023,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280023,purified cardiomyocyte G296S mutants,SRP082271
SRR4032246,ChIP-Seq,GCA_000001405.13,50,1360185761,PRJNA339028,SAMN05578215,417065545,iPS-derived cardiomyocytes,GEO,"H3K4me3 (CS200580\, lot:NG1848343)",public,"bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Differentiation D32,SRX2023755,GSM2280024,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280024,purified cardiomyocyte G296S mutants,SRP082271
SRR4032247,ChIP-Seq,GCA_000001405.13,50,1331052755,PRJNA339028,SAMN05578214,353874914,iPS-derived cardiomyocytes,GEO,Input,public,"sra,bam","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023756,GSM2280025,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280025,purified cardiomyocyte G296S mutants,SRP082271
SRR4032248,ChIP-Seq,GCA_000001405.13,50,1261753047,PRJNA339028,SAMN05578213,371031992,iPS-derived cardiomyocytes,GEO,"MED1 (A300-793A\, lot:A300-793A)",public,"bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Differentiation D32,SRX2023757,GSM2280026,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280026,purified cardiomyocyte G296S mutants,SRP082271
SRR4032249,ChIP-Seq,GCA_000001405.13,50,763108247,PRJNA339028,SAMN05578212,172297369,iPS-derived cardiomyocytes,GEO,TBX5 (sc17866),public,"sra,bam","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Differentiation D32,SRX2023758,GSM2280027,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280027,purified cardiomyocyte G296S mutants,SRP082271
SRR4032250,ChIP-Seq,GCA_000001405.13,50,1126467865,PRJNA339028,SAMN05578211,325303777,iPS-derived cardiomyocytes,GEO,"H3K27ac (ab4729\, lot:GR104852-2)",public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Differentiation D32,SRX2023759,GSM2280028,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280028,purified cardiomyocyte G296S mutants,SRP082271
SRR4032251,ChIP-Seq,GCA_000001405.13,50,2054766831,PRJNA339028,SAMN05578210,571880506,iPS-derived cardiomyocytes,GEO,"H3K27me3 (07-449\, lot:2194165)",public,"bam,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023760,GSM2280029,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280029,purified cardiomyocyte G296S mutants,SRP082271
SRR4032252,ChIP-Seq,GCA_000001405.13,50,1348628111,PRJNA339028,SAMN05578209,368342058,iPS-derived cardiomyocytes,GEO,"H3K36me3 (ab9050\, lot:GR114293-2)",public,"bam,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023761,GSM2280030,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280030,purified cardiomyocyte G296S mutants,SRP082271
SRR4032253,ChIP-Seq,GCA_000001405.13,50,1186028365,PRJNA339028,SAMN05578208,325909629,iPS-derived cardiomyocytes,GEO,"H3K4me3 (CS200580\, lot:NG1848343)",public,"sra,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023762,GSM2280031,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280031,purified cardiomyocyte G296S mutants,SRP082271
SRR4032254,ChIP-Seq,GCA_000001405.13,50,1619566450,PRJNA339028,SAMN05578207,441666168,iPS-derived cardiomyocytes,GEO,Input,public,"sra,bam","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Differentiation D32,SRX2023763,GSM2280032,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280032,purified cardiomyocyte G296S mutants,SRP082271
SRR4032255,ChIP-Seq,GCA_000001405.13,49,1679039583,PRJNA339028,SAMN05578181,367864441,iPS-derived cardiomyocytes,GEO,HDAC2 (ab12169),public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Differentiation D15,SRX2023764,GSM2280033,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280033,purified cardiomyocyte G296S mutants,SRP082271
SRR4032256,ChIP-Seq,GCA_000001405.13,49,81419846,PRJNA339028,SAMN05578180,21193676,iPS-derived cardiomyocytes,GEO,Input,public,"bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Differentiation D15,SRX2023765,GSM2280034,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280034,purified cardiomyocyte G296S mutants,SRP082271
SRR4032257,ChIP-Seq,GCA_000001405.13,49,1307119663,PRJNA339028,SAMN05578179,428070778,iPS-derived cardiomyocytes,GEO,"GATA4 (sc1237\, lot:E0912)",public,"bam,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023766,GSM2280035,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280035,purified cardiomyocyte G296S mutants,SRP082271
SRR4032258,ChIP-Seq,GCA_000001405.13,49,2088321879,PRJNA339028,SAMN05578178,737377547,iPS-derived cardiomyocytes,GEO,"H3K27ac (ab4729\, lot:GR104852-2)",public,"sra,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Differentiation D32,SRX2023767,GSM2280036,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280036,purified cardiomyocyte G296S mutants,SRP082271
SRR4032259,ChIP-Seq,GCA_000001405.13,49,2149802426,PRJNA339028,SAMN05578177,742366670,iPS-derived cardiomyocytes,GEO,"H3K27me3 (07-449\, lot:2194165)",public,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023768,GSM2280037,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280037,purified cardiomyocyte G296S mutants,SRP082271
SRR4032260,ChIP-Seq,GCA_000001405.13,49,2628287262,PRJNA339028,SAMN05578176,911458837,iPS-derived cardiomyocytes,GEO,"H3K36me3 (ab9050\, lot:GR114293-2)",public,"sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Differentiation D32,SRX2023769,GSM2280038,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280038,purified cardiomyocyte G296S mutants,SRP082271
SRR4032261,ChIP-Seq,GCA_000001405.13,49,1663408839,PRJNA339028,SAMN05578175,570697801,iPS-derived cardiomyocytes,GEO,"H3K4me3 (CS200580\, lot:NG1848343)",public,"sra,bam","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Differentiation D32,SRX2023770,GSM2280039,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280039,purified cardiomyocyte G296S mutants,SRP082271
SRR4032262,ChIP-Seq,GCA_000001405.13,49,2236397536,PRJNA339028,SAMN05578174,792830585,iPS-derived cardiomyocytes,GEO,Input,public,"bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Differentiation D32,SRX2023771,GSM2280040,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280040,purified cardiomyocyte G296S mutants,SRP082271
SRR4032263,ChIP-Seq,GCA_000001405.13,49,1257725395,PRJNA339028,SAMN05578173,418966771,iPS-derived cardiomyocytes,GEO,"MED1 (A300-793A\, lot:A300-793A)",public,"sra,bam","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Differentiation D32,SRX2023772,GSM2280041,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280041,purified cardiomyocyte G296S mutants,SRP082271
SRR4032264,ChIP-Seq,GCA_000001405.13,49,1157412470,PRJNA339028,SAMN05578172,379219607,iPS-derived cardiomyocytes,GEO,TBX5 (sc17866),public,"bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Differentiation D32,SRX2023773,GSM2280042,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,GSM2280042,purified cardiomyocyte G296S mutants,SRP082271
